year,rating,primaryTitle,imdbid,isAdult,runtimeMinutes,genres,averageRating,numVotes,titleType,genres_labels
2024,3,Moana 2,13622970,0,100,"Adventure,Animation,Comedy",6.5,111968.0,movie,"['Adventure', 'Animation', 'Comedy']"
2024,3,Turtles All the Way Down,7737224,0,111,"Drama,Mystery,Romance",6.6,7672.0,movie,"['Drama', 'Mystery', 'Romance']"
2024,3,The Beekeeper,15314262,0,105,"Action,Crime,Thriller",6.3,164158.0,movie,"['Action', 'Crime', 'Thriller']"
2024,3,Argylle,15009428,0,139,"Action,Comedy,Thriller",5.6,94755.0,movie,"['Action', 'Comedy', 'Thriller']"
2024,3,Mean Girls,11762114,0,112,"Comedy,Musical",5.5,38023.0,movie,"['Comedy', 'Musical']"
2024,3,Lisa Frankenstein,21188080,0,101,"Comedy,Horror,Romance",6.1,29048.0,movie,"['Comedy', 'Horror', 'Romance']"
2024,3,Dune: Part Two,15239678,0,166,"Action,Adventure,Drama",8.5,649653.0,movie,"['Action', 'Adventure', 'Drama']"
2024,3,Megamind vs. The Doom Syndicate,31122323,0,83,"Action,Adventure,Animation",2.5,5779.0,movie,"['Action', 'Adventure', 'Animation']"
2024,1,Cabrini,14351082,0,142,"Biography,Drama",7.3,9176.0,movie,"['Biography', 'Drama']"
2024,3,Kung Fu Panda 4,21692408,0,94,"Action,Adventure,Animation",6.3,71385.0,movie,"['Action', 'Adventure', 'Animation']"
2024,3,Love Lies Bleeding,19637052,0,104,"Crime,Drama,Mystery",6.6,59178.0,movie,"['Crime', 'Drama', 'Mystery']"
2024,3,Damsel,13452446,0,110,"Action,Adventure,Fantasy",6.1,112103.0,movie,"['Action', 'Adventure', 'Fantasy']"
2024,3,Ghostbusters: Frozen Empire,21235248,0,115,"Adventure,Comedy,Fantasy",6.1,96580.0,movie,"['Adventure', 'Comedy', 'Fantasy']"
2024,3,Road House,3359350,0,121,"Action,Drama,Thriller",6.2,171857.0,movie,"['Action', 'Drama', 'Thriller']"
2024,3,Godzilla x Kong: The New Empire,14539740,0,115,"Action,Adventure,Fantasy",6.0,125426.0,movie,"['Action', 'Adventure', 'Fantasy']"
2024,3,Drive-Away Dolls,19356262,0,84,"Action,Comedy,Thriller",5.4,24638.0,movie,"['Action', 'Comedy', 'Thriller']"
2024,1,Imaginary,26658104,0,104,"Horror,Mystery,Thriller",4.7,17819.0,movie,"['Horror', 'Mystery', 'Thriller']"
2024,3,Lady Parts,21423506,0,\N,Comedy,8.4,19.0,movie,['Comedy']
2024,3,Tarot,14088510,0,92,Horror,4.8,33259.0,movie,['Horror']
2024,1,Kingdom of the Planet of the Apes,11389872,0,145,"Action,Adventure,Drama",6.8,156178.0,movie,"['Action', 'Adventure', 'Drama']"
2024,3,Babes,21276958,0,104,Comedy,6.3,6650.0,movie,['Comedy']
2024,3,Nugget Is Dead: A Christmas Story,32424777,0,87,"Comedy,Drama",5.1,449.0,movie,"['Comedy', 'Drama']"
2024,2,Challengers,16426418,0,131,"Comedy,Drama,Romance",7.0,160585.0,movie,"['Comedy', 'Drama', 'Romance']"
